Title,Year,Age,Netflix,Hulu,Disney,Key,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards
Breaking Bad,2008,18+,1,0,0,Breaking Bad2008,Vince Gilligan,"Crime, Drama, Thriller",9.5,1404063,96,USA,Won 2 Golden Globes. Another 151 wins & 238 nominations.
Stranger Things,2016,16+,1,0,0,Stranger Things2016,"Matt Duffer, Ross Duffer","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",8.8,778817,93,USA,Nominated for 4 Golden Globes. Another 71 wins & 200 nominations.
Money Heist,2017,18+,1,0,0,Money Heist2017,Álex Pina,"Action, Crime, Mystery, Thriller",8.4,279345,91,Spain,26 wins & 30 nominations.
Sherlock,2010,16+,1,0,0,Sherlock2010,"Mark Gatiss, Steven Moffat","Crime, Drama, Mystery, Thriller",9.1,788329,78,"UK, USA",Nominated for 1 Golden Globe. Another 89 wins & 173 nominations.
Better Call Saul,2015,18+,1,0,0,Better Call Saul2015,"Vince Gilligan, Peter Gould","Crime, Drama",8.7,311262,97,USA,Nominated for 3 Golden Globes. Another 29 wins & 172 nominations.
Black Mirror,2011,18+,1,0,0,Black Mirror2011,Charlie Brooker,"Drama, Sci-Fi, Thriller",8.8,426735,83,UK,Won 6 Primetime Emmys. Another 26 wins & 88 nominations.
Supernatural,2005,16+,1,0,0,Supernatural2005,Eric Kripke,"Drama, Fantasy, Horror, Mystery, Thriller",8.4,382886,93,"USA, Canada",Nominated for 3 Primetime Emmys. Another 37 wins & 120 nominations.
Peaky Blinders,2013,18+,1,0,0,Peaky Blinders2013,Steven Knight,"Crime, Drama",8.8,312830,92,UK,17 wins & 37 nominations.
Avatar: The Last Airbender,2005,7+,1,0,0,Avatar: The Last Airbender2005,"Michael Dante DiMartino, Bryan Konietzko","Animation, Action, Adventure, Family, Fantasy, Mystery",9.2,236606,100,USA,Won 1 Primetime Emmy. Another 8 wins & 6 nominations.
The Walking Dead,2010,18+,1,0,0,The Walking Dead2010,"Frank Darabont, Angela Kang","Drama, Horror, Thriller",8.2,835562,81,USA,Nominated for 1 Golden Globe. Another 78 wins & 207 nominations.
Dark,2017,16+,1,0,0,Dark2017,"Baran bo Odar, Jantje Friese","Crime, Drama, Mystery, Sci-Fi, Thriller",8.8,263577,94,"Germany, USA",5 wins & 21 nominations.
