,Title,Year,Age,Netflix,Hulu,Disney,key
0,Inception,2010,13+,1,0,0,Inception2010
1,The Matrix,1999,18+,1,0,0,The Matrix1999
2,Avengers: Infinity War,2018,13+,1,0,0,Avengers: Infinity War2018
3,Back to the Future,1985,7+,1,0,0,Back to the Future1985
4,Spider-Man: Into the Spider-Verse,2018,7+,1,0,0,Spider-Man: Into the Spider-Verse2018
5,Django Unchained,2012,18+,1,0,0,Django Unchained2012
6,Raiders of the Lost Ark,1981,7+,1,0,0,Raiders of the Lost Ark1981
7,Inglourious Basterds,2009,18+,1,0,0,Inglourious Basterds2009
8,Taxi Driver,1976,18+,1,0,0,Taxi Driver1976
9,Pan's Labyrinth,2006,18+,1,0,0,Pan's Labyrinth2006
10,Room,2015,18+,1,0,0,Room2015
11,Monty Python and the Holy Grail,1975,7+,1,0,0,Monty Python and the Holy Grail1975
12,Indiana Jones and the Last Crusade,1989,13+,1,0,0,Indiana Jones and the Last Crusade1989
13,Groundhog Day,1993,7+,1,0,0,Groundhog Day1993
14,The King's Speech,2010,18+,1,0,0,The King's Speech2010
15,Her,2013,18+,1,0,0,Her2013
16,There Will Be Blood,2007,18+,1,0,0,There Will Be Blood2007
17,The Social Network,2010,13+,1,0,0,The Social Network2010
18,Dallas Buyers Club,2013,18+,1,0,0,Dallas Buyers Club2013
19,The Perks of Being a Wallflower,2012,13+,1,0,0,The Perks of Being a Wallflower2012
20,Life of Brian,1979,18+,1,0,0,Life of Brian1979
21,Ex Machina,2015,18+,1,0,0,Ex Machina2015
22,Silver Linings Playbook,2012,18+,1,0,0,Silver Linings Playbook2012
23,District 9,2009,18+,1,0,0,District 92009
24,The Irishman,2019,18+,1,0,0,The Irishman2019
25,Moon,2009,18+,1,0,0,Moon2009
26,Marriage Story,2019,18+,1,0,0,Marriage Story2019
27,Incredibles 2,2018,7+,1,0,0,Incredibles 22018
28,Dangal,2016,7+,1,0,0,Dangal2016
29,Klaus,2019,7+,1,0,0,Klaus2019
30,Minority Report,2002,13+,1,0,0,Minority Report2002
31,Mystic River,2003,18+,1,0,0,Mystic River2003
32,Like Stars on Earth,2007,7+,1,0,0,Like Stars on Earth2007
33,Ferris Bueller's Day Off,1986,13+,1,0,0,Ferris Bueller's Day Off1986
34,Despicable Me,2010,7+,1,0,0,Despicable Me2010
35,Hell or High Water,2016,18+,1,0,0,Hell or High Water2016
36,Sin City,2005,18+,1,0,0,Sin City2005
37,Ip Man,2008,18+,1,0,0,Ip Man2008
38,Indiana Jones and the Temple of Doom,1984,7+,1,0,0,Indiana Jones and the Temple of Doom1984
39,The Theory of Everything,2014,13+,1,0,0,The Theory of Everything2014
40,The Pursuit of Happyness,2006,13+,1,0,0,The Pursuit of Happyness2006
41,Senna,2010,13+,1,0,0,Senna2010
42,Scott Pilgrim vs. the World,2010,13+,1,0,0,Scott Pilgrim vs. the World2010
43,Magnolia,1999,18+,1,0,0,Magnolia1999
44,The Hateful Eight,2015,18+,1,0,0,The Hateful Eight2015
45,The Artist,2011,13+,1,0,0,The Artist2011
46,Moonlight,2016,18+,1,0,0,Moonlight2016
47,Back to the Future Part II,1989,7+,1,0,0,Back to the Future Part II1989
48,Willy Wonka & the Chocolate Factory,1971,all,1,0,0,Willy Wonka & the Chocolate Factory1971
49,The Curious Case of Benjamin Button,2008,13+,1,0,0,The Curious Case of Benjamin Button2008
50,A Silent Voice,2016,,1,0,0,A Silent Voice2016
51,Snowpiercer,2013,18+,1,0,0,Snowpiercer2013
52,Hugo,2011,7+,1,0,0,Hugo2011
53,Ant-Man and the Wasp,2018,13+,1,0,0,Ant-Man and the Wasp2018
54,As Good as It Gets,1997,13+,1,0,0,As Good as It Gets1997
55,Back to the Future Part III,1990,7+,1,0,0,Back to the Future Part III1990
56,Searching for Sugar Man,2012,13+,1,0,0,Searching for Sugar Man2012
57,Road to Perdition,2002,18+,1,0,0,Road to Perdition2002
58,To All the Boys I've Loved Before,2020,13+,1,0,0,To All the Boys I've Loved Before2020
59,Molly's Game,2017,18+,1,0,0,Molly's Game2017
60,Blackfish,2013,13+,1,1,0,Blackfish2013
61,El Camino: A Breaking Bad Movie,2019,18+,1,0,0,El Camino: A Breaking Bad Movie2019
62,The Invisible Guest,2016,18+,1,0,0,The Invisible Guest2016
63,Song of the Sea,2014,7+,1,0,0,Song of the Sea2014
64,End of Watch,2012,18+,1,0,0,End of Watch2012
65,The Evil Dead,1981,18+,1,0,0,The Evil Dead1981
66,About Time,2013,18+,1,0,0,About Time2013
67,Kung Fu Hustle,2004,18+,1,0,0,Kung Fu Hustle2004
68,Blue Is the Warmest Color,2013,18+,1,0,0,Blue Is the Warmest Color2013
69,Y Tu MamÌÁ TambiÌ©n,2001,18+,1,0,0,Y Tu MamÌÁ TambiÌ©n2001
70,The Naked Gun: From the Files of Police Squad!,1988,13+,1,0,0,The Naked Gun: From the Files of Police Squad!1988
