,Title,Year,Age,Netflix,Hulu,Disney,Key
0,Breaking Bad,2008,18+,1,0,0,Breaking Bad2008
1,Stranger Things,2016,16+,1,0,0,Stranger Things2016
2,Money Heist,2017,18+,1,0,0,Money Heist2017
3,Sherlock,2010,16+,1,0,0,Sherlock2010
4,Better Call Saul,2015,18+,1,0,0,Better Call Saul2015
5,Black Mirror,2011,18+,1,0,0,Black Mirror2011
6,Supernatural,2005,16+,1,0,0,Supernatural2005
7,Peaky Blinders,2013,18+,1,0,0,Peaky Blinders2013
8,Avatar: The Last Airbender,2005,7+,1,0,0,Avatar: The Last Airbender2005
9,The Walking Dead,2010,18+,1,0,0,The Walking Dead2010
10,Dark,2017,16+,1,0,0,Dark2017
11,Ozark,2017,18+,1,0,0,Ozark2017
12,Attack on Titan,2013,16+,1,1,0,Attack on Titan2013
13,Narcos,2015,18+,1,0,0,Narcos2015
14,Fullmetal Alchemist: Brotherhood,2009,18+,1,1,0,Fullmetal Alchemist: Brotherhood2009
15,Community,2009,7+,1,1,0,Community2009
16,Mindhunter,2017,18+,1,0,0,Mindhunter2017
17,Dexter,2006,18+,1,0,0,Dexter2006
18,Marvel's Daredevil,2015,18+,1,0,0,Marvel's Daredevil2015
19,The Witcher,2019,18+,1,0,0,The Witcher2019
20,Twin Peaks,1990,18+,1,1,0,Twin Peaks1990
21,One-Punch Man,2015,16+,1,1,0,One-Punch Man2015
22,Outlander,2014,18+,1,0,0,Outlander2014
23,House of Cards,2013,18+,1,0,0,House of Cards2013
24,Shameless,2011,18+,1,0,0,Shameless2011
25,The Good Place,2016,16+,1,1,0,The Good Place2016
26,The Haunting,2018,18+,1,0,0,The Haunting2018
27,The Blacklist,2013,16+,1,0,0,The Blacklist2013
28,The Flash,2014,7+,1,0,0,The Flash2014
29,The Last Kingdom,2015,18+,1,0,0,The Last Kingdom2015
30,Mad Men,2007,16+,1,0,0,Mad Men2007
31,Lucifer,2016,16+,1,0,0,Lucifer2016
32,Orange Is the New Black,2013,18+,1,0,0,Orange Is the New Black2013
33,Grey's Anatomy,2005,16+,1,1,0,Grey's Anatomy2005
34,The End of the F***ing World,2017,18+,1,0,0,The End of the F***ing World2017
35,Arrested Development,2003,16+,1,1,0,Arrested Development2003
36,The Vampire Diaries,2009,7+,1,0,0,The Vampire Diaries2009
37,The Crown,2016,18+,1,0,0,The Crown2016
38,The 100,2014,16+,1,0,0,The 1002014
39,When They See Us,2019,18+,1,0,0,When They See Us2019
40,How to Get Away with Murder,2014,16+,1,1,0,How to Get Away with Murder2014
41,After Life,2019,18+,1,0,0,After Life2019
42,Elite,2018,18+,1,0,0,Elite2018
43,BoJack Horseman,2014,18+,1,0,0,BoJack Horseman2014
44,Never Have I Ever,2020,16+,1,0,0,Never Have I Ever2020
45,Penny Dreadful,2014,18+,1,0,0,Penny Dreadful2014
46,Marvel's Agents of S.H.I.E.L.D.,2013,16+,1,0,0,Marvel's Agents of S.H.I.E.L.D.2013
47,Dead to Me,2019,18+,1,0,0,Dead to Me2019
48,Unorthodox,2020,18+,1,0,0,Unorthodox2020
49,Sense8,2015,18+,1,0,0,Sense82015
50,Sacred Games,2018,18+,1,0,0,Sacred Games2018
51,American Crime Story,2016,18+,1,0,0,American Crime Story2016
52,Family Guy,1999,18+,1,1,0,Family Guy1999
53,Pretty Little Liars,2010,16+,1,1,0,Pretty Little Liars2010
54,Unbelievable,2019,18+,1,0,0,Unbelievable2019
55,Arrow,2012,16+,1,0,0,Arrow2012
56,The IT Crowd,2006,16+,1,0,0,The IT Crowd2006
57,The Twilight Zone,1959,7+,1,1,0,The Twilight Zone1959
58,YOU,2018,18+,1,0,0,YOU2018
59,Sex Education,2019,16+,1,0,0,Sex Education2019
60,"Tiger King: Murder, Mayhem and Madness",2020,18+,1,0,0,"Tiger King: Murder, Mayhem and Madness2020"
61,Broadchurch,2013,18+,1,0,0,Broadchurch2013
62,Altered Carbon,2018,18+,1,0,0,Altered Carbon2018
63,The Sinner,2017,16+,1,0,0,The Sinner2017
64,"Love, Death & Robots",2019,18+,1,0,0,"Love, Death & Robots2019"
65,Marvel's Jessica Jones,2015,18+,1,0,0,Marvel's Jessica Jones2015
66,New Girl,2011,16+,1,0,0,New Girl2011
67,The Umbrella Academy,2019,16+,1,0,0,The Umbrella Academy2019
68,Marvel's The Punisher,2017,18+,1,0,0,Marvel's The Punisher2017
69,Ash vs Evil Dead,2015,18+,1,0,0,Ash vs Evil Dead2015
70,Master of None,2015,18+,1,0,0,Master of None2015
71,Bodyguard,2018,18+,1,0,0,Bodyguard2018
72,Narcos: Mexico,2018,18+,1,0,0,Narcos: Mexico2018
73,The West Wing,1999,16+,1,0,0,The West Wing1999
74,Bates Motel,2013,18+,1,0,0,Bates Motel2013
75,Atypical,2017,18+,1,0,0,Atypical2017
76,Once Upon a Time,2011,7+,1,0,0,Once Upon a Time2011
77,Gomorrah,2014,18+,1,0,0,Gomorrah2014
78,Making a Murderer,2015,16+,1,0,0,Making a Murderer2015
79,Death Note,2006,18+,1,1,0,Death Note2006
80,Castlevania,2017,18+,1,0,0,Castlevania2017
81,Riverdale,2017,16+,1,0,0,Riverdale2017
82,Fauda,2015,16+,1,0,0,Fauda2015
83,Russian Doll,2019,18+,1,0,0,Russian Doll2019
84,Our Planet,2019,7+,1,0,0,Our Planet2019
85,Big Mouth,2017,18+,1,0,0,Big Mouth2017
86,Gotham,2014,16+,1,0,0,Gotham2014
87,I Am Not Okay with This,2020,18+,1,0,0,I Am Not Okay with This2020
88,Criminal Minds,2005,16+,1,0,0,Criminal Minds2005
89,The Vietnam War,2017,18+,1,0,0,The Vietnam War2017
90,Waco,2018,18+,1,0,0,Waco2018
91,The OA,2016,16+,1,0,0,The OA2016
92,Outer Banks,2020,18+,1,0,0,Outer Banks2020
93,The Midnight Gospel,2020,18+,1,0,0,The Midnight Gospel2020
94,Good Girls,2018,16+,1,1,0,Good Girls2018
95,Chilling Adventures of Sabrina,2018,16+,1,0,0,Chilling Adventures of Sabrina2018
96,Doctor Foster,2015,16+,1,0,0,Doctor Foster2015
97,Gilmore Girls,2000,16+,1,0,0,Gilmore Girls2000
98,iZombie,2015,16+,1,0,0,iZombie2015
99,Anne with an E,2017,7+,1,0,0,Anne with an E2017
100,A Series of Unfortunate Events,2017,7+,1,0,0,A Series of Unfortunate Events2017
101,Neon Genesis Evangelion,1995,16+,1,0,0,Neon Genesis Evangelion1995
102,Into the Badlands,2015,16+,1,0,0,Into the Badlands2015
103,Monty Python's Flying Circus,1969,16+,1,0,0,Monty Python's Flying Circus1969
104,Jane the Virgin,2014,7+,1,0,0,Jane the Virgin2014
105,Halt and Catch Fire,2014,16+,1,0,0,Halt and Catch Fire2014
106,Grace and Frankie,2015,7+,1,0,0,Grace and Frankie2015
107,NCIS,2003,16+,1,0,0,NCIS2003
108,Weeds,2005,18+,1,0,0,Weeds2005
109,GLOW,2017,18+,1,0,0,GLOW2017
110,Person of Interest,2011,16+,1,0,0,Person of Interest2011
111,13 Reasons Why,2017,18+,1,0,0,13 Reasons Why2017
112,Godless,2017,16+,1,0,0,Godless2017
113,Locked Up,2015,16+,1,0,0,Locked Up2015
114,Gossip Girl,2008,16+,1,0,0,Gossip Girl2008
115,Unbreakable Kimmy Schmidt,2015,16+,1,0,0,Unbreakable Kimmy Schmidt2015
116,Scandal,2012,16+,1,0,0,Scandal2012
117,Hunter x Hunter,2011,16+,1,1,0,Hunter x Hunter2011
118,One Day at a Time,2017,7+,1,0,0,One Day at a Time2017
119,DC's Legends of Tomorrow,2016,16+,1,0,0,DC's Legends of Tomorrow2016
120,Manhunt,2017,16+,1,0,0,Manhunt2017
121,Naruto,2002,7+,1,1,0,Naruto2002
122,The Dragon Prince,2018,7+,1,0,0,The Dragon Prince2018
